	name	size	group	shortName
146	PWY7220	0.950350371	2	PWY7220
147	PWY7221	0.956592739	2	PWY7221
148	PWY7222	0.950350371	2	PWY7222
149	PWY7228	0.956327081	2	PWY7228
150	PWY7229	0.953520206	2	PWY7229
151	PWY7254	1.155479093	1	PWY7254
152	PWY7315	1.792663565	1	PWY7315
153	PWY7328	1.250933757	1	PWY7328
154	PWY7371	0.596280899	2	PWY7371
155	PWY7374	0.731222486	2	PWY7374
156	PWY7376	1.13574547	1	PWY7376
157	PWY7392	0.957992024	2	PWY7392
158	PWY7400	0.934690867	2	PWY7400
159	PWY7431	1.16662879	1	PWY7431
160	PWY7456	0.602525259	2	PWY7456
161	PWY7539	0.999769332	2	PWY7539
162	PWY7560	0.948682767	2	PWY7560
163	PWY841	0.955651267	2	PWY841
164	PWY01061	1.229125256	1	PWY01061
165	PWY01241	0.779988751	2	PWY01241
166	PWY01319	0.937361687	2	PWY01319
167	PWY01338	3.438684215	1	PWY01338
168	PWY01415	0.913533082	2	PWY01415
169	PWY01479	1.149615378	1	PWY01479
170	PWY0162	0.945436558	2	PWY0162
171	PWY0166	1.019346436	1	PWY0166
172	PWY0321	1.334606334	1	PWY0321
173	PWY042	1.451552378	1	PWY042
174	PWY0781	1.08408783	1	PWY0781
175	PWY4FS7	0.940167424	2	PWY4FS7
176	PWY4FS8	0.940167424	2	PWY4FS8
177	PYRIDNUCSALPWY	1.083170881	1	PYRIDNUCSALPWY
178	PYRIDNUCSYNPWY	0.919481562	2	PYRIDNUCSYNPWY
179	RIBOSYN2PWY	0.949318822	2	RIBOSYN2PWY
180	SERGLYSYNPWY	0.957352805	2	SERGLYSYNPWY
181	TCA	0.964104974	2	TCA
182	TCAGLYOXBYPASS	1.180864278	1	TCAGLYOXBYPASS
183	TEICHOICACIDPWY	1.37090151	1	TEICHOICACIDPWY
184	THISYNPWY	0.829587911	2	THISYNPWY
185	THRESYNPWY	0.936585934	2	THRESYNPWY
186	TRNACHARGINGPWY	0.952879408	2	TRNACHARGINGPWY
187	TRPSYNPWY	0.945921586	2	TRPSYNPWY
188	TYRFUMCATPWY	1.398310801	1	TYRFUMCATPWY
189	UBISYNPWY	1.090296938	1	UBISYNPWY
190	Biosynthesis	0	2	Biosynthesis
191	Degradation/Utilization/Assimilation	0	2	Degradation/Utilization/Assimilation
192	GenerationPrecursorMetabolitesandEnergy	0	2	GenerationPrecursorMetabolitesandEnergy
193	MacromoleculeModification	0	2	MacromoleculeModification
194	AminoAcidDegradationB	0	2	AminoAcidDegradationB
195	AromaticCompoundBiosynthesis	0	2	AromaticCompoundBiosynthesis
196	CarbohydrateBiosynthesis	0	2	CarbohydrateBiosynthesis
197	"Cofactor,Carrier,andVitaminBiosynthesis"	0	2	"Cofactor,Carrier,andVitaminBiosynthesis"
198	CellStructureBiosynthesis	0	2	CellStructureBiosynthesis
199	SecondaryMetaboliteBiosynthesis	0	2	SecondaryMetaboliteBiosynthesis
200	OtherBiosynthesis	0	2	OtherBiosynthesis
201	FattyAcidandLipidBiosynthesis	0	2	FattyAcidandLipidBiosynthesis
202	PolyprenylBiosynthesis	0	2	PolyprenylBiosynthesis
203	MetabolicRegulatorBiosynthesis	0	2	MetabolicRegulatorBiosynthesis
204	unknown6	0	2	unknown6
205	TetrapyrroleBiosynthesis	0	2	TetrapyrroleBiosynthesis
206	NucleosideandNucleotideBiosynthesis	0	2	NucleosideandNucleotideBiosynthesis
207	unknown8	0	2	unknown8
208	AminoacyltRNACharging	0	2	AminoacyltRNACharging
209	AromaticCompoundDegradation	0	2	AromaticCompoundDegradation
210	AminoAcidDegradationD	0	2	AminoAcidDegradationD
211	FattyAcidandLipidDegradation	0	2	FattyAcidandLipidDegradation
212	unknown1	0	2	unknown1
213	CarboxylateDegradation	0	2	CarboxylateDegradation
214	unknown2	0	2	unknown2
215	CarbohydrateDegradation	0	2	CarbohydrateDegradation
216	AromaticCompound	0	2	AromaticCompound
217	AmineandPolyamineDegradation	0	2	AmineandPolyamineDegradation
218	Degradation/Utilization/AssimilationOther	0	2	Degradation/Utilization/AssimilationOther
219	C1CompoundUtilizationandAssimilation	0	2	C1CompoundUtilizationandAssimilation
220	NucleosideandNucleotideDegradation	0	2	NucleosideandNucleotideDegradation
221	InorganicNutrientMetabolism	0	2	InorganicNutrientMetabolism
222	Glycolysis	0	2	Glycolysis
223	unknown3	0	2	unknown3
224	unknown4	0	2	unknown4
225	unknown5	0	2	unknown5
226	Pentose	0	2	Pentose
227	TCAcycle	0	2	TCAcycle
228	Fermentation	0	2	Fermentation
229	PentosePhosphatePathways	0	2	PentosePhosphatePathways
230	ElectronTransferChains	0	2	ElectronTransferChains
231	unknown7	0	2	unknown7
232	NucleicAcidProcessing	0	2	NucleicAcidProcessing
233	origin	0	2	origin
