	from	to
220	Degradation/Utilization/Assimilation	NucleosideandNucleotideDegradation
221	Degradation/Utilization/Assimilation	InorganicNutrientMetabolism
222	GenerationPrecursorMetabolitesandEnergy	Glycolysis
223	GenerationPrecursorMetabolitesandEnergy	unknown3
224	GenerationPrecursorMetabolitesandEnergy	unknown4
225	GenerationPrecursorMetabolitesandEnergy	unknown5
226	GenerationPrecursorMetabolitesandEnergy	Pentose
227	GenerationPrecursorMetabolitesandEnergy	TCAcycle
228	GenerationPrecursorMetabolitesandEnergy	Fermentation
229	GenerationPrecursorMetabolitesandEnergy	PentosePhosphatePathways
230	GenerationPrecursorMetabolitesandEnergy	ElectronTransferChains
231	GenerationPrecursorMetabolitesandEnergy	unknown7
232	MacromoleculeModification	NucleicAcidProcessing
